M,A,D,Cx,Cy,Cya,mz
0.6,-40,-30,14.46371958,-17.04255719,-12.95037866,0.356615418
0.6,-39,-30,13.49954972,-16.46887695,-12.69594305,0.037060073
0.6,-38,-30,12.58200484,-15.89519671,-12.42503849,-0.282495271
0.6,-37,-30,11.70890691,-15.32151647,-12.13802102,-0.602050615
0.6,-36,-30,10.87824633,-14.74783622,-11.83525533,-0.92160596
0.6,-35,-30,10.08816699,-14.17415598,-11.51711457,-1.241161304
0.6,-34,-30,9.33695284,-13.60047574,-11.18398017,-1.560716648
0.6,-33,-30,8.623016031,-13.02679549,-10.83624164,-1.880271993
0.6,-32,-30,7.944886178,-12.45311525,-10.47429632,-2.199827337
0.6,-31,-30,7.301200795,-11.87943501,-10.09854922,-2.519382682
0.6,-30,-30,6.690696679,-11.30575476,-9.709412774,-2.838938026
0.6,-29,-30,6.112202171,-10.73207452,-9.307306648,-3.15849337
0.6,-28,-30,5.564630171,-10.15839428,-8.892657501,-3.478048715
0.6,-27,-30,5.04697185,-9.584714036,-8.46589877,-3.797604059
0.6,-26,-30,4.55829096,-9.011033793,-8.027470448,-4.117159403
0.6,-25,-30,4.097718697,-8.43735355,-7.577818848,-4.436714748
0.6,-24,-30,3.66444905,-7.863673307,-7.117396378,-4.756270092
0.6,-23,-30,3.257734588,-7.289993064,-6.646661304,-5.075825437
0.6,-22,-30,2.876882643,-6.716312821,-6.166077513,-5.395380781
0.6,-21,-30,2.521251849,-6.142632578,-5.676114278,-5.714936125
0.6,-20,-30,2.190249008,-5.568952335,-5.177246011,-6.03449147
0.6,-19,-30,1.883326239,-4.995272092,-4.669952025,-6.354046814
0.6,-18,-30,1.599978403,-4.421591849,-4.154716283,-6.673602159
0.6,-17,-30,1.33974076,-3.847911606,-3.632027156,-6.993157503
0.6,-16,-30,1.102186858,-3.274231363,-3.102377169,-7.312712847
0.6,-15,-30,0.886926614,-2.70055112,-2.566262749,-7.632268192
0.6,-14,-30,0.69360459,-2.126870877,-2.024183976,-7.951823536
0.6,-13,-30,0.521898434,-1.553190634,-1.476644325,-8.27137888
0.6,-12,-30,0.371517483,-0.979510391,-0.924150408,-8.590934225
0.6,-11,-30,0.242201512,-0.405830148,-0.36721172,-8.910489569
0.6,-10,-30,0.133719622,0.167850095,0.193659622,-9.230044914
0.6,-9,-30,0.045869255,0.741530338,0.757949139,-9.549600258
0.6,-8,-30,-0.021524671,1.315210581,1.325140253,-9.869155602
0.6,-7,-30,-0.068610508,1.888890824,1.894714547,-10.18871095
0.6,-6,-30,-0.095510526,2.462571067,2.466152028,-10.50826629
0.6,-5,-30,-0.102321447,3.03625131,3.038931395,-10.82782164
0.6,-4,-30,-0.089114883,3.609931553,3.612530298,-11.14737698
0.6,-3,-30,-0.055937681,4.183611796,4.186425607,-11.46693232
0.6,-2,-30,-0.002812176,4.757292039,4.760093676,-11.78648767
0.6,-1,-30,0.070263655,5.330972282,5.333010608,-12.10604301
0.6,0,-30,0.163316122,5.904652525,5.904652525,-12.42559836
0.6,1,-30,0.276395841,6.478332768,6.474495827,-12.7451537
0.6,2,-30,0.409577843,7.052013011,7.042017465,-13.06470905
0.6,3,-30,0.562961771,7.625693254,7.606695201,-13.38426439
0.6,4,-30,0.736672171,8.199373497,8.168007878,-13.70381973
0.6,5,-30,0.930858869,8.77305374,8.725435684,-14.02337508
0.6,6,-30,1.14569745,9.346733983,9.278460413,-14.34293042
0.6,7,-30,1.381389827,9.920414226,9.826565734,-14.66248577
0.6,8,-30,1.638164918,10.49409447,10.36923745,-14.98204111
0.6,9,-30,1.916279426,11.06777471,10.90596377,-15.30159646
0.6,10,-30,2.216018725,11.64145495,11.43623555,-15.6211518
0.6,11,-30,2.537697878,12.2151352,11.95954657,-15.94070715
0.6,12,-30,2.88166276,12.78881544,12.47539381,-16.26026249
0.6,13,-30,3.24829133,13.36249568,12.98327765,-16.57981783
0.6,14,-30,3.637995033,13.93617593,13.4827022,-16.89937318
0.6,15,-30,4.051220365,14.50985617,13.97317549,-17.21892852
0.6,16,-30,4.48845059,15.08353641,14.45420977,-17.53848387
0.6,17,-30,4.95020764,15.65721666,14.92532174,-17.85803921
0.6,18,-30,5.437054212,16.2308969,15.3860328,-18.17759456
0.6,19,-30,5.949596062,16.80457714,15.83586931,-18.4971499
0.6,20,-30,6.488484534,17.37825738,16.27436282,-18.81670524
0.6,21,-30,7.054419337,17.95193763,16.70105032,-19.13626059
0.6,22,-30,7.648151592,18.52561787,17.11547449,-19.45581593
0.6,23,-30,8.270487179,19.09929811,17.51718392,-19.77537128
0.6,24,-30,8.922290412,19.67297836,17.90573336,-20.09492662
0.6,25,-30,9.604488079,20.2466586,18.28068397,-20.41448197
0.6,26,-30,10.31807388,20.82033884,18.64160352,-20.73403731
0.6,27,-30,11.06411331,21.39401909,18.98806662,-21.05359266
0.6,28,-30,11.84374905,21.96769933,19.31965497,-21.373148
0.6,29,-30,12.65820685,22.54137957,19.63595757,-21.69270334
0.6,30,-30,13.50880213,23.11505981,19.93657095,-22.01225869
0.6,31,-30,14.39694714,23.68874006,20.22109935,-22.33181403
0.6,32,-30,15.32415897,24.2624203,20.48915498,-22.65136938
0.6,33,-30,16.2920684,24.83610054,20.74035821,-22.97092472
0.6,34,-30,17.30242967,25.40978079,20.97433777,-23.29048007
0.6,35,-30,18.3571314,25.98346103,21.19073094,-23.61003541
0.6,36,-30,19.45820868,26.55714127,21.3891838,-23.92959075
0.6,37,-30,20.60785656,27.13082152,21.56935138,-24.2491461
0.6,38,-30,21.80844514,27.70450176,21.73089786,-24.56870144
0.6,39,-30,23.06253639,28.278182,21.87349677,-24.88825679
0.6,40,-30,24.37290309,28.85186224,21.99683117,-25.20781213
0.6,-40,-20,16.11525016,-19.0107747,-14.45812074,4.498481537
0.6,-39,-20,15.09338083,-18.43709446,-14.22553533,4.178926192
0.6,-38,-20,14.11974489,-17.86341422,-13.97601505,3.859370848
0.6,-37,-20,13.19206518,-17.28973397,-13.70990941,3.539815504
0.6,-36,-20,12.30824006,-16.71605373,-13.42757674,3.220260159
0.6,-35,-20,11.46632772,-16.14237349,-13.12938396,2.900704815
0.6,-34,-20,10.66453231,-15.56869324,-12.81570644,2.581149471
0.6,-33,-20,9.901191426,-14.995013,-12.48692774,2.261594126
0.6,-32,-20,9.174764977,-14.42133276,-12.14343943,1.942038782
0.6,-31,-20,8.483825185,-13.84765252,-11.78564091,1.622483437
0.6,-30,-20,7.827047587,-13.27397227,-11.41393914,1.302928093
0.6,-29,-20,7.203202951,-12.70029203,-11.02874847,0.983372749
0.6,-28,-20,6.611149984,-12.12661179,-10.63049041,0.663817404
0.6,-27,-20,6.04982876,-11.55293154,-10.21959341,0.34426206
0.6,-26,-20,5.51825478,-10.9792513,-9.796492626,0.024706716
0.6,-25,-20,5.015513594,-10.40557106,-9.361629703,-0.294848629
0.6,-24,-20,4.540755944,-9.831890815,-8.915452543,-0.614403973
0.6,-23,-20,4.093193353,-9.258210572,-8.458415073,-0.933959318
0.6,-22,-20,3.672094134,-8.684530329,-7.990977009,-1.253514662
0.6,-21,-20,3.276779764,-8.110850086,-7.513603619,-1.573070006
0.6,-20,-20,2.906621596,-7.537169843,-7.02676548,-1.892625351
0.6,-19,-20,2.561037876,-6.9634896,-6.530938239,-2.212180695
0.6,-18,-20,2.239491038,-6.389809357,-6.02660237,-2.531736039
0.6,-17,-20,1.94148524,-5.816129114,-5.51424292,-2.851291384
0.6,-16,-20,1.666564146,-5.242448871,-4.994349269,-3.170846728
0.6,-15,-20,1.414308906,-4.668768628,-4.467414872,-3.490402073
0.6,-14,-20,1.184336331,-4.095088385,-3.933937013,-3.809957417
0.6,-13,-20,0.97629725,-3.521408142,-3.394416546,-4.129512761
0.6,-12,-20,0.789875029,-2.947727899,-2.849357641,-4.449068106
0.6,-11,-20,0.62478424,-2.374047656,-2.299267529,-4.76862345
0.6,-10,-20,0.480769472,-1.800367413,-1.74465624,-5.088178794
0.6,-9,-20,0.357604283,-1.22668717,-1.186036345,-5.407734139
0.6,-8,-20,0.255090261,-0.653006927,-0.623922698,-5.727289483
0.6,-7,-20,0.173056214,-0.079326684,-0.058832167,-6.046844828
0.6,-6,-20,0.11135747,0.494353559,0.508716621,-6.366400172
0.6,-5,-20,0.069875272,1.068033802,1.078203548,-6.685955516
0.6,-4,-20,0.048516293,1.641714045,1.649107268,-7.005510861
0.6,-3,-20,0.047212227,2.215394288,2.220905472,-7.325066205
0.6,-2,-20,0.065919494,2.789074531,2.793075152,-7.644621549
0.6,-1,-20,0.104619019,3.362754774,3.365092869,-7.964176894
0.6,0,-20,0.163316122,3.936435017,3.936435017,-8.283732238
0.6,1,-20,0.242040477,4.51011526,4.506578088,-8.603287583
0.6,2,-20,0.340846173,5.083795503,5.074998941,-8.922842927
0.6,3,-20,0.459811862,5.657475745,5.641175066,-9.242398271
0.6,4,-20,0.599040995,6.231155988,6.204584849,-9.561953616
0.6,5,-20,0.75866215,6.804836231,6.764707837,-9.88150896
0.6,6,-20,0.938829454,7.378516474,7.321025006,-10.2010643
0.6,7,-20,1.139723104,7.952196717,7.87301902,-10.52061965
0.6,8,-20,1.361549987,8.52587696,8.420174501,-10.84017499
0.6,9,-20,1.604544397,9.099557203,8.961978284,-11.15973034
0.6,10,-20,1.868968875,9.673237446,9.497919687,-11.47928568
0.6,11,-20,2.15511515,10.24691769,10.02749077,-11.79884103
0.6,12,-20,2.463305214,10.82059793,10.55018657,-12.11839637
0.6,13,-20,2.793892514,11.39427818,11.06550543,-12.43795172
0.6,14,-20,3.147263293,11.96795842,11.57294916,-12.75750706
0.6,15,-20,3.523838073,12.54163866,12.07202336,-13.0770624
0.6,16,-20,3.924073301,13.1153189,12.56223767,-13.39661775
0.6,17,-20,4.34846316,13.68899915,13.04310598,-13.71617309
0.6,18,-20,4.797541577,14.26267939,13.51414672,-14.03572844
0.6,19,-20,5.271884425,14.83635963,13.9748831,-14.35528378
